1;640071;"cell phone;adult;child preschool;bodi mass index;diet;accelerometri;exercis;bodi composit;male;ministop trial;parent selfefficaci;self efficaci;physic fit;femal;sweden;parent;cardiorespiratori fit;bodi composit;crosssect studi;bodi mass index;human;survey questionnair"
2;387011;"urban ecolog;puerto rico;citi;tropic citi;socioeconom factor;land use plan;socialecolog relationship;remot sens technolog;residenti veget;airborn imageri;green infrastructur;objectbas classif;resid characterist;garden"
3;270365;"pandem;adult;age factor;middl age;health behavior;coronaviru infect;adolesc;male;femal;pneumonia viral;self report;unit state;young adult;human;covid"
5;973363;"hepg;glycolysi;liver cancer;metformin;nrf"
7;894459;"polyphenol;cardioton agent;cardiovascular diseas;cardioprotect;cardiovascular diseas;therapeut pharmacolog;rm;antioxid;polyphenol;clinic trial;human"
8;78382;"fak;brain;cytoplasm dynein;cellular microenviron;dendrit;inositol hexakisphosph kinas;neuron;phosphotransferas phosphat group acceptor;hek cell;cell migrat;focal adhes;dynein;focal adhes;ip k;cell movement;human;cell adhes"
12;150058;"locomot;mammal;fossil;skeleton;anim;biolog evolut;adapt biolog;behavior anim"
13;854946;"neoplasm tumor oncolog includ cancer carcinogen;head neck;rc;mucos melanoma;multidisciplinari"
15;757581;"ph;life scienc;plant physiolog;phytolith;biochar;soil scienc conserv;si bioavail;soil buffer capac;ecolog;plant scienc;biomed life scienc"
16;409910;"florida;anoli sagrei;lizard;competit behavior;anim;toe;ecosystem;charact displac;male;biolog evolut;island;interfer;anim distribut;interspecif competit;femal;predict;repeat;speci invas;habitat use;anoli carolinensi;behavior anim"
18;879035;"health inequ;socioeconom factor;male;social welfar;femal;immigr;health statu dispar;minor health;europ;welfar state;human"
20;138445;"pseudarthrosi;adolesc;femal;fractur fixat intern;fractur ununit;clavicl;fractur bone;human;child"
21;501787;"life scienc;plant growth regul;auxin;osmot pressur;zeatin;oxid stress;agricultur;lettuc;nitric oxid;nitroprussid;biomed life scienc;sodium;indoleacet acid;salin;chlorophyl;signal transduct;ethylen;cell signal;ecolog;sodium chlorid;photosynthesi;stress physiolog;forestri;plant scienc"
23;24713;"nippletumor distanc;sentinel lymph node metastasi;neoplasm tumor oncolog includ cancer carcinogen;breast cancer;nippl tumor distanc;rc;predict factor;impair glucos toler"
24;546443;"foxp;nsclc;foxp;neoplasm tumor oncolog includ cancer carcinogen;nsclc;hsa circ;progress;mir p;hsa ciingrc;mir p;rc"
25;214124;"energi metabol;adult;mother;male;pregnanc;immun cell;femal;young adult;mitochondria;child abus;infant;mitochondria;childhood maltreat;intracellular densiti;bioenerget;matern inherit;leukocyt mononuclear;human"
30;469401;"plant behaviour;plant root forag;nutrient forag;soil;helianthu;nutrient;forag;plant root;plantplant interact"
31;989873;"ethic;corpor social respons;educ;manag;regul;busi manag gener;busi ethic;suppli chain;philosophi;qualiti life research;disclosur"
32;470898;"carbon footprint;reprocess;reusabl;speculum;steril;steril;life cycl assess;dispos;surgic instrument;carbon footprint;human;dispos equip"
