248051;identif share gene signatur pathway polycyst ovari syndrom endometri cancer omic data base combin approach;Identification of the shared gene signatures and pathways between polycystic ovary syndrome and endometrial cancer: An omics data based combined approach
337395;explor live experi long covid black minor ethnic group uk protocol qualit interview art bas method;Exploring the lived experience of Long Covid in black and minority ethnic groups in the UK: Protocol for qualitative interviews and art-based methods
252470;covari fetal skull matern pelvi perinat period rhesu macaqu evolut childbirth primat;Covariation of fetal skull and maternal pelvis during the perinatal period in rhesus macaques and evolution of childbirth in primates
836386;examin util cystatin c confirmatori test chronic kidney diseas age rang middle ag older community dwel adult;Examining the utility of cystatin C as a confirmatory test of chronic kidney disease across the age range in middle-aged and older community-dwelling adults
397278;femal genit mutil migrat mali return migrant transfer social norm;Female genital mutilation and migration in Mali: do return migrants transfer social norms?
487825;caus mortal rate risk factor death community dwel european age year over result survey health age retir europ;CAUSES, mortality rates and risk factors of death in community-dwelling Europeans aged 50 years and over: Results from the Survey of Health, Ageing and Retirement in Europe 2013-2015
887812;microrna p reduc herg rel current inhibit breast cancer cell prolifer;MicroRNA 362-3p Reduces hERG-related Current and Inhibits Breast Cancer Cells Proliferation
833882;effect phytolith rice straw biochar soil buffer capac ph silicon bioavail;Effects of phytolithic rice-straw biochar, soil buffering capacity and pH on silicon bioavailability
595748;thermodynam relativist quantum field confin caviti;Thermodynamics of relativistic quantum fields confined in cavities
954063;unmask corpor sustain project level explor influenc institut logic individu agenc;Unmasking Corporate Sustainability at the Project Level: Exploring the Influence of Institutional Logics and Individual Agency
588833;commun resourc mass explor wheat grain proteom applic late matur alpha amylas lma problem;A community resource to mass explore the wheat grain proteome and its application to the late-maturity alpha-amylase (LMA) problem
135858;evalu effect surveil contain measur patient covid singapor januari februari;Evaluation of the Effectiveness of Surveillance and Containment Measures for the First 100 Patients with COVID-19 in Singapore - January 2-February 29, 2020
252509;compar carbon footprint analysi dispos reusabl vagin specula;A comparative carbon footprint analysis of disposable and reusable vaginal specula
200394;metformin suppress nrf mediat chemoresist hepatocellular carcinoma cell increas glycolysi;Metformin suppresses Nrf2-mediated chemoresistance in hepatocellular carcinoma cells by increasing glycolysis
532462;daytim depress temperature normalis stem co efflux young poplar tree domin low turgor pressur intern transport respir co;Daytime depression in temperature-normalised stem CO2 efflux in young poplar trees is dominated by low turgor pressure rather than by internal transport of respired CO2
586134;nitric oxid phytohormon interact respons lactuca sativa salin stress;Nitric oxide and phytohormone interactions in the response of Lactuca sativa to salinity stress
212477;capsaicin amelior nephrotox induc methotrex;Capsaicin ameliorate the nephrotoxicity induced by methotrexate
984662;polygen evolut drive speci diverg climat adapt coral polygen climat adapt coral;Polygenic evolution drives species divergence and climate adaptation in corals : POLYGENIC CLIMATE ADAPTATION IN CORALS
714783;quercetin repair impair oxidant antioxid balanc tetrachlorodibenzo p dioxin induc cardiac injuri male rat;Quercetin may repair the impaired oxidant-antioxidant balance in 1, 2, 3, 4-tetrachlorodibenzo-p-dioxin induced cardiac injury in male rats
595972;probabilist opinion pool imprecis probabl;Probabilistic Opinion Pooling with Imprecise Probabilities
